"Value of Exports by Major Country/Region/Certain Entity of Destination (FOB value:million US$), 2000-2025",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Country/Region/Certain Entity of Destination,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Netherlands," 1,837.4 "," 1,498.2 "," 1,618.4 "," 1,401.5 "," 1,797.5 "," 2,233.5 "," 2,518.4 "," 2,749.4 "," 3,926.4 "," 2,909.1 "," 3,722.5 "," 5,132.5 "," 4,664.3 "," 4,106.0 "," 3,984.6 "," 3,442.2 "," 3,254.9 "," 4,037.8 "," 3,896.6 "," 3,205.0 "," 3,113.7 "," 4,630.7 "," 5,377.8 "," 3,869.5 "," 4,749.7 "," 5,694.8 "
France, 718.3 , 662.7 , 648.9 , 652.8 , 659.8 , 624.0 , 724.4 , 802.9 , 938.5 , 870.2 ," 1,122.8 "," 1,284.6 "," 1,128.2 "," 1,062.7 "," 1,019.3 ", 973.0 , 872.7 , 975.9 ," 1,006.8 "," 1,013.3 ", 916.3 ," 1,005.2 "," 1,081.9 ", 925.0 , 938.7 ," 1,048.5 "
Germany," 1,443.1 "," 1,297.0 "," 1,269.9 "," 1,416.8 "," 1,654.6 "," 1,781.6 "," 2,025.7 "," 2,316.0 "," 2,465.2 "," 2,326.7 "," 2,984.7 "," 3,304.7 "," 3,075.0 "," 2,883.4 "," 2,821.6 "," 2,664.2 "," 2,638.7 "," 2,668.2 "," 2,708.2 "," 2,405.8 "," 2,456.3 "," 2,914.8 "," 3,206.1 "," 2,523.3 "," 2,394.1 "," 2,514.4 "
Belgium, 840.6 , 772.1 , 782.8 , 902.9 , 915.6 , 997.3 ," 1,136.3 "," 1,332.2 "," 1,351.0 "," 1,048.3 "," 1,190.1 "," 1,374.7 "," 1,297.7 "," 1,259.3 "," 1,217.3 "," 1,113.3 "," 1,125.7 "," 1,241.3 "," 1,261.2 "," 1,075.7 "," 1,220.4 "," 1,632.0 "," 2,194.5 "," 1,634.4 "," 1,581.2 "," 1,900.7 "
Denmark, 135.3 , 108.8 , 102.5 , 95.8 , 112.2 , 127.2 , 142.8 , 140.8 , 170.9 , 168.8 , 180.2 , 250.2 , 229.4 , 224.5 , 226.6 , 207.0 , 187.6 , 192.9 , 201.3 , 195.3 , 163.9 , 201.8 , 709.3 , 147.6 , 180.9 , 201.0 
Sweden, 112.8 , 118.1 , 127.7 , 110.4 , 115.2 , 108.1 , 135.4 , 109.8 , 134.1 , 144.3 , 156.5 , 170.4 , 166.3 , 162.4 , 177.1 , 146.8 , 144.7 , 149.5 , 161.2 , 155.7 , 172.3 , 241.1 , 253.4 , 284.5 , 210.5 , 184.8 
Finland, 139.9 , 116.2 , 145.1 , 132.1 , 148.3 , 183.5 , 176.6 , 121.3 , 108.4 , 61.2 , 122.7 , 219.0 , 197.8 , 149.1 , 111.4 , 84.9 , 83.9 , 88.4 , 85.1 , 76.6 , 60.8 , 85.4 , 92.1 , 54.9 , 59.3 , 54.9 
Italy, 757.8 , 621.8 , 719.8 , 843.9 , 922.6 ," 1,007.2 "," 1,213.0 "," 1,380.0 "," 1,900.7 "," 1,651.1 "," 2,370.0 "," 3,168.3 "," 2,277.0 "," 2,128.6 "," 2,286.9 "," 1,872.9 "," 1,572.1 "," 1,932.6 "," 1,920.9 "," 1,749.3 "," 1,746.2 "," 2,805.7 "," 3,128.0 "," 2,098.3 "," 2,251.7 "," 2,833.0 "
Spain, 932.2 , 903.6 , 996.4 ," 1,022.4 ", 837.5 ," 1,205.5 "," 1,641.1 "," 1,906.2 "," 1,665.3 "," 1,830.5 "," 2,328.7 "," 2,427.9 "," 2,069.3 "," 1,810.4 "," 1,937.6 "," 1,481.3 "," 1,579.3 "," 2,010.1 "," 2,253.3 "," 1,599.2 "," 1,515.7 "," 2,353.1 "," 2,287.7 "," 2,194.4 "," 2,110.5 "," 1,806.5 "
Greece, 98.6 , 94.0 , 88.5 , 95.1 , 92.5 , 104.8 , 125.8 , 233.5 , 214.3 , 165.7 , 155.4 , 157.5 , 139.9 , 149.2 , 157.4 , 143.9 , 142.2 , 181.3 , 230.9 , 214.8 , 209.6 , 228.5 , 326.4 , 251.2 , 249.5 , 291.4 
